广东联通-组播1,#genre#
CCTV1,http://58.253.171.25:8188/rtp/239.0.1.3:8008
CETV-1,http://58.253.171.25:8188/rtp/239.0.1.240:4120
CCTV-10科教,http://58.253.171.25:8188/rtp/239.0.1.98:8116
CCTV-12社会与法,http://58.253.171.25:8188/rtp/239.0.1.99:8124
CCTV-14少儿,http://58.253.171.25:8188/rtp/239.0.1.100:8132
CCTV-7军事农业,http://58.253.171.25:8188/rtp/239.0.1.96:8104
CCTV-9纪录,http://58.253.171.25:8188/rtp/239.0.1.97:8112
CCTV2-,http://58.253.171.25:8188/rtp/239.0.1.4:8084
CCTV5,http://58.253.171.25:8188/rtp/239.0.1.101:8004
上海纪实,http://58.253.171.25:8188/rtp/239.0.1.242:5111
吉林卫视,http://58.253.171.25:8188/rtp/239.0.1.245:5183
江西卫视,http://58.253.171.25:8188/rtp/239.0.1.244:5166
河北卫视,http://58.253.171.25:8188/rtp/239.0.1.243:8072
福建东南卫视,http://58.253.171.25:8188/rtp/239.0.1.241:5109
高尔夫网球,http://58.253.171.25:8188/rtp/239.0.10.229:5229
IPTV5,http://58.253.171.25:8188/rtp/239.0.1.102:4120
TVS1广东经济科教,http://58.253.171.25:8188/rtp/239.0.1.94:5013
东方卫视,http://58.253.171.25:8188/rtp/239.0.1.82:8032
北京卫视,http://58.253.171.25:8188/rtp/239.0.1.83:8024
四川卫视,http://58.253.171.25:8188/rtp/239.0.1.87:5095
天津卫视,http://58.253.171.25:8188/rtp/239.0.1.89:1234
安徽卫视,http://58.253.171.25:8188/rtp/239.0.1.81:8064
山东卫视,http://58.253.171.25:8188/rtp/239.0.1.90:8052
广东体育,http://58.253.171.25:8188/rtp/239.0.1.95:5057
广东卫视,http://58.253.171.25:8188/rtp/239.0.1.1:5001
江苏卫视,http://58.253.171.25:8188/rtp/239.0.1.80:8028
浙江卫视,http://58.253.171.25:8188/rtp/239.0.1.79:1234
深圳卫视,http://58.253.171.25:8188/rtp/239.0.1.84:8020
湖北卫视,http://58.253.171.25:8188/rtp/239.0.1.88:1234
湖南卫视,http://58.253.171.25:8188/rtp/239.0.1.78:8012
辽宁卫视,http://58.253.171.25:8188/rtp/239.0.1.85:8056
重庆卫视,http://58.253.171.25:8188/rtp/239.0.1.91:5097
金鹰纪实,http://58.253.171.25:8188/rtp/239.0.1.92:5094
黑龙江卫视,http://58.253.171.25:8188/rtp/239.0.1.86:8016
CCTV-4,http://58.253.171.25:8188/rtp/239.0.1.180:6040
广西卫视,http://58.253.171.25:8188/rtp/239.0.1.181:6041
精选频道3,http://58.253.171.25:8188/rtp/239.0.1.202:5108
精选频道4,http://58.253.171.25:8188/rtp/239.0.1.203:5107
广东综艺,http://58.253.171.25:8188/rtp/239.0.1.138:5177
广东珠江,http://58.253.171.25:8188/rtp/239.0.1.133:5172
广东珠江超清,http://58.253.171.25:8188/rtp/239.0.1.134:5173
CETV2,http://58.253.171.25:8188/rtp/239.0.1.210:4120
CETV4,http://58.253.171.25:8188/rtp/239.0.1.211:4121
河源公共,http://58.253.171.25:8188/rtp/239.0.1.236:5225
河源公共,http://58.253.171.25:8188/rtp/239.0.1.237:5226
广东影视4K,http://58.253.171.25:8188/rtp/239.0.1.169:6030
